ID|IDEXT|TYPE_CRI|VALEUR_CRI|UNITE_PONDERATION|DEVISE_CRI|DATE_EFFET|ETAT|TIMESTAMP
205243STD|false|STD|5033.61|1000|EUR|16/01/19|A|Correction CRI 27022019
205263STD|false|STD|4189.9|1000|EUR|16/01/19|A|Correction CRI 27022019
205264STD|false|STD|5953.74|1000|EUR|16/01/19|A|Correction CRI 27022019
212477STD|false|STD|1356.31|1000|EUR|16/01/19|A|Correction CRI 27022019
224381STD|false|STD|1003.46|1000|EUR|16/01/19|A|Correction CRI 27022019
224383STD|false|STD|1218.19|1000|EUR|16/01/19|A|Correction CRI 27022019
532781STD|false|STD|899.32|1000|EUR|15/01/19|A|Correction CRI 27022019
539208STD|false|STD|1.63|1000|EUR|22/01/19|A|Correction CRI 27022019
726695STD|false|STD|44.39|1|EUR|15/01/19|A|Correction CRI 27022019
726696STD|false|STD|130.98|1|EUR|15/01/19|A|Correction CRI 27022019
731199STD|false|STD|1236.22|1000|EUR|01/01/19|A|Correction CRI 27022019
217463STD|false|STD|480.97|1000|EUR|18/01/18|A|Correction CRI 27022019
217532STD|false|STD|610.08|1000|EUR|18/01/18|A|Correction CRI 27022019
221533STD|false|STD|27.82|1000|EUR|10/01/18|A|Correction CRI 27022019
539548STD|false|STD|118.56|1000|EUR|01/01/18|A|Correction CRI 27022019
714038STD|false|STD|168.51|1000|EUR|23/01/18|A|Correction CRI 27022019
510866STD|false|STD|1.26|1|EUR|29/01/17|A|Correction CRI 27022019
510965STD|false|STD|2.03|1|EUR|29/01/17|A|Correction CRI 27022019
707209STD|false|STD|700|1000|EUR|01/01/17|A|Correction CRI 27022019
