"PRODUCTID","ERP_ID_TIERS","ETAT","TYPE"
"RCB_ADR000000430569","212413","ACT","CLI"
"RCB_ADR000000439906","011048","OPE","CLI"
"RCB_ADR000000431441","051999","OPE","CLI"
"RCB_ADR000000417750","056122","OPE","CLI"
"RCB_ADR000000443361","019473","OPE","CLI"
"RCB_ADR000000432010","143408","OPE","CLI"
"RCB_ADR000000432026","115284","OPE","CLI"
"RCB_ADR000000437872","010617","OPE","CLI"
"RCB_ADR000000433980","020200","ACT","CLI"
"RCB_ADR000000426025","109547","OPE","CLI"
"RCB_ADR000000428736","012259","OPE","CLI"
"RCB_ADR000000432071","113845","OPE","CLI"
"RCB_ADR000000429092","027997","OPE","CLI"
"RCB_ADR000000432092","108587","OPE","CLI"
"RCB_ADR000000427765","010527","OPE","CLI"
"RCB_ADR000000427766","10697","OPE","CLI"
"RCB_ADR000000437873","30056","OPE","CLI"
"RCB_ADR000000427786","10653","OPE","CLI"
"RCB_ADR000000431443","53937","OPE","CLI"
"RCB_ADR000000432037","1353","OPE","CLI"
"RCB_ADR000000437882","10704","OPE","CLI"
"RCB_ADR000000437881","10824","OPE","CLI"
"RCB_ADR000000437874","10689","OPE","CLI"
"RCB_ADR000000427806","28874","OPE","CLI"
"RCB_ADR000000427768","10543","OPE","CLI"
"RCB_ADR000000490871","15077","OPE","CLI"
"RCB_ADR000000427762","27888","OPE","CLI"
"RCB_ADR000000427774","10517","OPE","CLI"
"RCB_ADR000000427817","10609","OPE","CLI"
