"PRODUCTID","CODE_QUALIAC"
"CATQ_ZDI","ZDI"
"CATQ_RFO","RFO"
"CATQ_9HG","9HG"
"CATQ_9HL","9HL"
"CATQ_S**","S**"
"CATQ_T**","T**"
"CATQ_U**","U**"
"CATQ_Z00","Z00"
"CATQ_806","806"
"CATQ_Z99","Z99"
"CATQ_ZAC","ZAC"
"CATQ_809GY","809GY"
"CATQ_9OT","9OT"
"CATQ_809MG","809MG"
"CATQ_ZR4","ZR4"
"CATQ_80FAD","80FAD"
"CATQ_80MDT","80MDT"
"CATQ_9RD","9RD"
"CATQ_899AD","899AD"
"CATQ_8EC","8EC"
"CATQ_8O","8O"
"CATQ_9AC","9AC"
"CATQ_9AN","9AN"
"CATQ_9VR","9VR"
"CATQ_9BI","9BI"
"CATQ_9CB","9CB"
"CATQ_D**","D**"
"CATQ_9CN","9CN"
"CATQ_I**","I**"
"CATQ_9CR","9CR"
"CATQ_9CU","9CU"
"CATQ_9CX","9CX"
"CATQ_9CY","9CY"
"CATQ_501","501"
"CATQ_R**","R**"
"CATQ_9EN","9EN"
"CATQ_532","532"
"CATQ_533","533"
"CATQ_534","534"
"CATQ_535","535"
"CATQ_RIN","RIN"
"CATQ_RON","RON"
"CATQ_9IE","9IE"
"CATQ_9IF","9IF"
"CATQ_9IN","9IN"
"CATQ_6**","6**"
"CATQ_RSR","RSR"
"CATQ_RVM","RVM"
"CATQ_801DT","801DT"
"CATQ_9MP","9MP"
"CATQ_806AD","806AD"
"CATQ_806DT","806DT"
"CATQ_Z05","Z05"
"CATQ_9OF","9OF"
"CATQ_Z1M","Z1M"
"CATQ_809DE","809DE"
"CATQ_9OP","9OP"
"CATQ_80FDT","80FDT"
"CATQ_9PO","9PO"
"CATQ_9PQ","9PQ"
"CATQ_80TDT","80TDT"
"CATQ_810","810"
"CATQ_9RE","9RE"
"CATQ_9RT","9RT"
"CATQ_9SA","9SA"
"CATQ_8F0DT","8F0DT"
"CATQ_9SM","9SM"
"CATQ_999","999"
"CATQ_9UR","9UR"
"CATQ_9AP","9AP"
"CATQ_A**","A**"
"CATQ_1**","1**"
"CATQ_9CH","9CH"
"CATQ_9CI","9CI"
"CATQ_1CC","1CC"
"CATQ_3**","3**"
"CATQ_9DE","9DE"
"CATQ_5**","5**"
"CATQ_503","503"
"CATQ_RCO","RCO"
"CATQ_RCV","RCV"
"CATQ_530","530"
"CATQ_531","531"
"CATQ_9EL","9EL"
"CATQ_9EX","9EX"
"CATQ_RFA","RFA"
"CATQ_RGY","RGY"
"CATQ_541","541"
"CATQ_542","542"
"CATQ_W**","W**"
"CATQ_Z01","Z01"
"CATQ_9OE","9OE"
"CATQ_809","809"
"CATQ_ZPU","ZPU"
"CATQ_80B","80B"
"CATQ_80D","80D"
"CATQ_9PE","9PE"
"CATQ_9SF","9SF"
"CATQ_9SS","9SS"
"CATQ_9ST","9ST"
"CATQ_9UT","9UT"
"CATQ_9CD","9CD"
"CATQ_9CF","9CF"
"CATQ_1AS","1AS"
"CATQ_1DD","1DD"
"CATQ_K91","K91"
"CATQ_9CW","9CW"
"CATQ_2GA","2GA"
"CATQ_4**","4**"
"CATQ_PVO","PVO"
"CATQ_Q**","Q**"
"CATQ_502","502"
"CATQ_RDE","RDE"
"CATQ_9GA","9GA"
"CATQ_536","536"
"CATQ_RMC","RMC"
"CATQ_9HO","9HO"
"CATQ_544","544"
"CATQ_RRH","RRH"
"CATQ_9IM","9IM"
"CATQ_5MR","5MR"
"CATQ_TBN","TBN"
"CATQ_802DT","802DT"
"CATQ_803DT","803DT"
"CATQ_805","805"
"CATQ_805DT","805DT"
"CATQ_9OC","9OC"
"CATQ_9ON","9ON"
"CATQ_9PC","9PC"
"CATQ_9PH","9PH"
"CATQ_9PN","9PN"
"CATQ_9PS","9PS"
"CATQ_9PW","9PW"
"CATQ_9PY","9PY"
"CATQ_9RA","9RA"
"CATQ_811","811"
"CATQ_9RF","9RF"
"CATQ_9AG","9AG"
"CATQ_9AL","9AL"
"CATQ_9AU","9AU"
"CATQ_K**","K**"
"CATQ_9CV","9CV"
"CATQ_2GC","2GC"
"CATQ_PFO","PFO"
"CATQ_PHA","PHA"
"CATQ_9HE","9HE"
"CATQ_RPS","RPS"
"CATQ_RSI","RSI"
"CATQ_801","801"
"CATQ_802","802"
"CATQ_ZRE","ZRE"
"CATQ_80M","80M"
"CATQ_80R","80R"
"CATQ_80RDT","80RDT"
"CATQ_80T","80T"
"CATQ_9RH","9RH"
"CATQ_9SL","9SL"
"CATQ_9TB","9TB"
"CATQ_9UG","9UG"
"CATQ_9VT","9VT"
"CATQ_9BA","9BA"
"CATQ_9CC","9CC"
"CATQ_EDF","EDF"
"CATQ_F**","F**"
"CATQ_FEC","FEC"
"CATQ_G**","G**"
"CATQ_9CT","9CT"
"CATQ_202","202"
"CATQ_204","204"
"CATQ_PAS","PAS"
"CATQ_PAT","PAT"
"CATQ_2GR","2GR"
"CATQ_9DT","9DT"
"CATQ_RCA","RCA"
"CATQ_9EHDT","9EHDT"
"CATQ_RDI","RDI"
"CATQ_RDR","RDR"
"CATQ_9GY","9GY"
"CATQ_543","543"
"CATQ_5GR","5GR"
"CATQ_9MG","9MG"
"CATQ_RVR","RVR"
"CATQ_9NE","9NE"
"CATQ_Z**","Z**"
"CATQ_Z10","Z10"
"CATQ_809DT","809DT"
"CATQ_9OR","9OR"
"CATQ_ZPH","ZPH"
"CATQ_9PA","9PA"
"CATQ_9PD","9PD"
"CATQ_ZR3","ZR3"
"CATQ_9PP","9PP"
"CATQ_80PDT","80PDT"
"CATQ_9PT","9PT"
"CATQ_812","812"
"CATQ_899","899"
"CATQ_9**","9**"
"CATQ_9SX","9SX"
"CATQ_9AR","9AR"
"CATQ_H**","H**"
"CATQ_9CP","9CP"
"CATQ_J**","J**"
"CATQ_9CS","9CS"
"CATQ_201","201"
"CATQ_M**","M**"
"CATQ_N**","N**"
"CATQ_9DD","9DD"
"CATQ_PRU","PRU"
"CATQ_9DV","9DV"
"CATQ_9EG","9EG"
"CATQ_9EH","9EH"
"CATQ_505","505"
"CATQ_9EI","9EI"
"CATQ_540","540"
"CATQ_9HM","9HM"
"CATQ_599","599"
"CATQ_5DI","5DI"
"CATQ_800","800"
"CATQ_9MN","9MN"
"CATQ_9MT","9MT"
"CATQ_804","804"
"CATQ_Y**","Y**"
"CATQ_9NU","9NU"
"CATQ_9OD","9OD"
"CATQ_80N","80N"
"CATQ_9PU","9PU"
"CATQ_80TAD","80TAD"
"CATQ_89","89"
"CATQ_9RM","9RM"
"CATQ_9RP","9RP"
"CATQ_899DT","899DT"
"CATQ_C**","C**"
"CATQ_9DA","9DA"
"CATQ_9GE","9GE"
"CATQ_9GN","9GN"
"CATQ_RIO","RIO"
"CATQ_RRO","RRO"
"CATQ_RRR","RRR"
"CATQ_9KI","9KI"
"CATQ_8**","8**"
"CATQ_9ME","9ME"
"CATQ_9MH","9MH"
"CATQ_9MI","9MI"
"CATQ_802AD","802AD"
"CATQ_9MS","9MS"
"CATQ_9NP","9NP"
"CATQ_9OB","9OB"
"CATQ_Z04","Z04"
"CATQ_807","807"
"CATQ_ZME","ZME"
"CATQ_809ME","809ME"
"CATQ_ZR1","ZR1"
"CATQ_80DDT","80DDT"
"CATQ_80F","80F"
"CATQ_9PL","9PL"
"CATQ_F21","F21"
"CATQ_9CG","9CG"
"CATQ_GZA","GZA"
"CATQ_9CM","9CM"
"CATQ_HONO","HONO"
"CATQ_1OO","1OO"
"CATQ_1PH","1PH"
"CATQ_2**","2**"
"CATQ_DPP","DPP"
"CATQ_2GN","2GN"
"CATQ_MCA","MCA"
"CATQ_MDT","MDT"
