CODE_LISTE|||||||CODE_ERF|||PRODUCTID|
|||||||E**|||CAT_8EC|
|I|||||||||CAT_1CB|
|I|||||||||CAT_F**|
|I|||||||||CAT_1OO|
|||||||3**|||CAT_3**|
|||||||4**|||CAT_4**|
|||||||533|||CAT_533|
|||||||535|||CAT_535|
|||||||9ME|||CAT_9ME|
|||||||U**|||CAT_U**|
|||||||9OR|||CAT_9OR|
|||||||F**|||CAT_80F|
|||||||9AN|||CAT_9AN|
|||||||9ST|||CAT_9ST|
|I|||||||||CAT_1CC|
|||||||9CH|||CAT_9CH|
|||||||F21|||CAT_F21|
|||||||9MG|||CAT_9MG|
|I|||||||||CAT_803DT|
|||||||804|||CAT_804|
|||||||Z**|||CAT_Z**|
|||||||C**|||CAT_809|
|I|||||||||CAT_802AD|
|||||||811|||CAT_811|
|||||||I**|||CAT_I**|
|||||||T**|||CAT_T**|
|||||||Y**|||CAT_Y**|
|||||||9NU|||CAT_9NU|
|||||||9OT|||CAT_9OT|
|I|||||||||CAT_802DT|
|I|||||||||CAT_806|
|||||||B**|||CAT_807|
|||||||9**|||CAT_809DE|
|||||||9OP|||CAT_9OP|
|I|||||||||CAT_Z99|
|||||||9PL|||CAT_9PL|
|||||||M**|||CAT_M**|
|||||||202|||CAT_202|
|||||||9DD|||CAT_9DD|
|||||||2GR|||CAT_2GR|
|I|||||||||CAT_R**|
|||||||9GE|||CAT_9GE|
|||||||9GY|||CAT_9GY|
|||||||599|||CAT_599|
|I|||||||||CAT_802|
|||||||W**|||CAT_W**|
|||||||5**|||CAT_805|
|||||||Z99|||CAT_899|
|||||||9AL|||CAT_9AL|
|||||||9EH|||CAT_9EH|
|||||||544|||CAT_544|
|||||||1EX|||CAT_801|
|||||||Z00|||CAT_Z00|
|I|||||||||CAT_806AD|
|I|||||||||CAT_806DT|
|||||||J**|||CAT_J**|
|||||||201|||CAT_201|
|I|||||||||CAT_1CR|
|I|||||||||CAT_1DD|
|||||||Q**|||CAT_Q**|
|||||||9EL|||CAT_9EL|
|||||||530|||CAT_530|
|||||||536|||CAT_536|
|||||||540|||CAT_540|
|||||||6**|||CAT_6**|
|||||||9SL|||CAT_9SL|
|I|||||||||CAT_1CM|
|||||||G**|||CAT_G**|
|||||||2GN|||CAT_2GN|
|I|||||||||CAT_80MDT|
|||||||9RF|||CAT_9RF|
|||||||9AR|||CAT_9AR|
|I|||||||||CAT_1AS|
|||||||FEC|||CAT_FEC|
|I|||||||||CAT_1PH|
|I|||||||||CAT_2GC|
|||||||N**|||CAT_N**|
|||||||531|||CAT_531|
|||||||532|||CAT_532|
|||||||9IM|||CAT_9IM|
|||||||5DI|||CAT_5DI|
|I|||||||||CAT_89|
|||||||D**|||CAT_D**|
|||||||2**|||CAT_2**|
|||||||K91|||CAT_K91|
|||||||MCA|||CAT_MCA|
|||||||9CY|||CAT_9CY|
|||||||2GA|||CAT_2GA|
|||||||9PS|||CAT_9PS|
|I|||||||||CAT_80RDT|
|||||||9SF|||CAT_9SF|
|||||||1**|||CAT_1**|
|||||||H**|||CAT_H**|
|||||||534|||CAT_534|
|||||||541|||CAT_541|
|||||||542|||CAT_542|
|||||||543|||CAT_543|
|||||||R**|||CAT_80R|
|||||||9CP|||CAT_9CP|
|||||||MDT|||CAT_MDT|
|||||||9DE|||CAT_9DE|
|||||||DPP|||CAT_DPP|
