CATEGORIE QUALIAC;CATEGORIE_CIBLE_SAP 
1**;1**
1AS;1**
1CB;1**
1CC;1**
1CM;1**
1CR;1**
1DD;1**
1OO;1**
1PH;1**
801;1**
2**;2**
201;201
202;202
2GA;2GA
2GN;2GN
2GC;2**
2GR;2GR
802;2**
802AD;2**
802DT;2**
803DT;2GR
3**;3**
4**;4**
530;530
531;531
532;532
533;533
534;534
535;535
536;536
540;540
541;541
542;542
543;543
544;544
599;599
5DI;5DI
805;5**
6**;6**
804;804
811;811
9EL;9EL
9SF;9SF
9SL;9SL
9ST;9ST
9GE;9GE
9GY;9GY
9IM;9IM
9ME;9ME
9MG;9MG
9NU;9NU
9OP;9OP
9OR;9OR
9OT;9OT
9PL;9PL
9PS;9PS
9RF;9RF
9AL;9AL
9AN;9AN
9AR;9AR
9CH;9CH
9CP;9CP
9CY;9CY
9DD;9DD
9DE;9DE
9EH;9EH
809DE;9**
806;A**
806AD;A**
806DT;A**
807;B**
89;B**
809;C**
D**;D**
DPP;DPP
8EC;E**
80F;F**
F**;F**
F21;F21
FEC;FEC
G**;G**
H**;H**
I**;I**
J**;J**
K91;K91
M**;M**
MCA;MCA
MCS;MCS
MDT;MDT
80MDT;M**
N**;N**
Q**;Q**
80R;R**
80RDT;R**
R**;R**
T**;T**
U**;U**
W**;W**
Y**;Y**
899;Z99
Z**;Z**
Z00;Z00
Z99;Z99
